key,PID,ST_NUM,ST_NAME,ST_NAME_SUF,ZIPCODE,OWN_OCC,AV_BLDG,AV_TOTAL,GROSS_TAX,LAND_SF,YR_BUILT,YR_REMOD,GROSS_AREA,LIVING_AREA,NUM_FLOORS,R_TOTAL_RMS,R_BDRMS,R_FULL_BTH,R_HALF_BTH,R_KITCH,R_FPLACE,FULLADD,R_TOTAL_BTH,MARKET_VALUE,DIS0,DIS1,DIS2,DIS3,DIS4,DIS5,ZIP_MV,LU_R1,LU_R2,LU_R3,R_BLDG_STYL_BW,R_BLDG_STYL_CL,R_BLDG_STYL_CN,R_BLDG_STYL_CP,R_BLDG_STYL_CV,R_BLDG_STYL_DK,R_BLDG_STYL_DX,R_BLDG_STYL_OT,R_BLDG_STYL_RE,R_BLDG_STYL_RM,R_BLDG_STYL_RN,R_BLDG_STYL_RR,R_BLDG_STYL_SD,R_BLDG_STYL_SL,R_BLDG_STYL_TD,R_BLDG_STYL_TF,R_BLDG_STYL_TL,R_BLDG_STYL_VT,R_ROOF_TYP_F,R_ROOF_TYP_G,R_ROOF_TYP_H,R_ROOF_TYP_L,R_ROOF_TYP_M,R_ROOF_TYP_S,R_EXT_FIN_A,R_EXT_FIN_B,R_EXT_FIN_C,R_EXT_FIN_F,R_EXT_FIN_G,R_EXT_FIN_M,R_EXT_FIN_O,R_EXT_FIN_P,R_EXT_FIN_S,R_EXT_FIN_U,R_EXT_FIN_V,R_EXT_FIN_W,R_BTH_STYLE_L,R_BTH_STYLE_M,R_BTH_STYLE_N,R_BTH_STYLE_S,R_KITCH_STYLE_L,R_KITCH_STYLE_M,R_KITCH_STYLE_N,R_KITCH_STYLE_S,R_HEAT_TYP_E,R_HEAT_TYP_F,R_HEAT_TYP_N,R_HEAT_TYP_O,R_HEAT_TYP_P,R_HEAT_TYP_S,R_HEAT_TYP_W,R_AC_C,R_AC_D,R_AC_N,R_AC_Y,R_EXT_CND_A,R_EXT_CND_E,R_EXT_CND_F,R_EXT_CND_G,R_EXT_CND_P,R_OVRALL_CND_A,R_OVRALL_CND_E,R_OVRALL_CND_F,R_OVRALL_CND_G,R_OVRALL_CND_P,R_INT_CND_A,R_INT_CND_E,R_INT_CND_F,R_INT_CND_G,R_INT_CND_P,R_INT_FIN_E,R_INT_FIN_N,R_INT_FIN_S,R_VIEW_A,R_VIEW_E,R_VIEW_F,R_VIEW_G,R_VIEW_P,PTYPE_101.0,PTYPE_104.0,PTYPE_105.0,Residual,Appreciation_2020,1yr_Increase,MVReno19_INT_COND,MVReno20_INT_COND,Prof19_INT_COND,Prof20_INT_COND,Expected_RenoCost_INT_COND,MVReno19_EXT_COND,MVReno20_EXT_COND,Prof19_EXT_COND,Prof20_EXT_COND,Expected_RenoCost_EXT_COND,MVReno19_INT_FIN,MVReno20_INT_FIN,Prof19_INT_FIN,Prof20_INT_FIN,Expected_RenoCost_INT_FIN,MVReno19_EXT_FIN,MVReno20_EXT_FIN,Prof19_EXT_FIN,Prof20_EXT_FIN,Expected_RenoCost_EXT_FIN,MVReno19_FRPL,MVReno20_FRPL,Prof19_FRPL,Prof20_FRPL,Expected_RenoCost_FRPL,MVReno19_ROOF_M,MVReno20_ROOF_M,Prof19_ROOF_M,Prof20_ROOF_M,Expected_RenoCost_ROOF_M,MVReno19_KITCHEN_L,MVReno20_KITCHEN_L,Prof19_KITCHEN_L,Prof20_KITCHEN_L,Expected_RenoCost_KITCHEN_L,MVReno19_KITCHEN_M,MVReno20_KITCHEN_M,Prof19_KITCHEN_M,Prof20_KITCHEN_M,Expected_RenoCost_KITCHEN_M,Max_Prof,PER_Max_Prof,latitude,longitude
2019,1602465000,7,MCKONE,ST,2122,1,386400,519300,547342,4503.0,1905.0,0.0,8.204671828950811,7.68937110752969,2.0,10.0,4.0,2.0,1.0,1.0,0.0,"7 Mckone St Boston, MA 02122",2.5,857239.761980748,-0.08315123790140136,-0.011871295002590513,0.04519201279205056,0.28445038553940794,0.4311296688173997,2.095927706193015,13.66655520797128,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,-8006.742742849514,854098.7680725221,-3140.993908225908,957745,963233,94505,99993,6000,860396,865326,-142,4786,3300,932729,938073,67489,72833,8000,867117,872085,-122,4845,10000,862390,867331,1950,6892,3200,887307,892391,14067,19151,16000,860393,865323,-22845,-17916,26000,869136,874116,-4103,876,16000,99993,0.11664531258904164,42.2894792,-71.0470904532509
2019,903754000,28,THORNTON,ST,2119,0,360800,507600,535010,4773.0,1900.0,0.0,8.727129915243166,8.168486417126681,2.0,14.0,4.0,2.0,0.0,2.0,0.0,"28 Thornton St Boston, MA 02119",2.0,862800.2940726387,-0.7091734318125016,-0.5976235000074389,-0.3152713113735434,-0.032403120277717065,0.1195846223617498,1.399166634036338,13.513755769580884,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,-8673.854521353263,859020.2256308706,-3780.068441768177,963264,968783,94463,99983,6000,874130,879138,8029,13038,3300,938103,943478,67303,72678,8000,853577,858467,-19222,-14332,10000,867359,872329,1359,6329,3200,892420,897533,13619,18732,16000,865351,870309,-23448,-18490,26000,874144,879152,-4655,352,16000,99983,0.11588197255711932,42.3258135,-71.0894775667768
2019,1801064000,79,REGIS,RD,2126,1,328500,463800,488845,3850.0,1920.0,0.0,8.419800845407588,7.874358824729882,2.0,15.0,6.0,4.0,0.0,3.0,0.0,"79 Regis Rd Boston, MA 02126",4.0,824219.7324206312,0.5914647621354149,0.7379013529334897,0.79988762386278,0.9504454215679085,1.017622102667705,3.1768848823190563,13.430590444370644,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,-4469.877654736512,824446.6774401849,226.9450195536483,924495,929792,94275,99572,6000,830526,835284,3006,7764,3300,900347,905505,68127,73285,8000,837013,841809,2793,7589,10000,832450,837220,5031,9800,3200,846459,851308,6239,11089,16000,830523,835281,-19696,-14937,26000,838962,843769,-1257,3549,16000,99572,0.12080759060156128,42.271609999999995,-71.094474
2019,2009054000,460.0,BAKER,ST,2132,1,407900,533400,562204,5546.0,1920.0,2015.0,7.955425088912673,7.292337176173878,1.0,8.0,4.0,2.0,0.0,1.0,2.0,"460 Baker St Boston, MA 02132",2.0,849042.9777939122,1.1302474364156938,1.301467560756045,1.3974833370178972,1.4993315438079509,1.6086530800201089,5.393959914866722,13.620898522121262,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,13108.022314034752,867090.7635521569,18047.78575824469,928869,934191,76826,82148,3000,873484,878489,22641,27646,1800,946917,952342,93874,99299,4000,846387,851236,-7655,-2806,5000,848996,853861,-3246,1618,3200,900804,905965,35761,40922,16000,853478,858369,-21564,-16673,26000,862151,867090,-2891,2047,16000,99299,0.11695403247785037,42.28512055,-71.1704376947215
2019,1200282000,3,DUNREATH,ST,2119,1,280000,458100,482838,11286.0,1900.0,0.0,8.295049140435111,7.687997166393017,1.5,9.0,4.0,2.0,0.0,1.0,0.0,"3 Dunreath St Boston, MA 02119",2.0,765131.3362538593,-0.06182791392919727,-0.059854149635682176,0.02127807884691181,0.21623943842601528,0.2633047989049999,1.3125037409323432,13.513755769580884,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,173.814148794394,769690.0277676992,4558.691513839876,863093,868038,93462,98407,4500,775365,779808,7684,12126,2550,840549,845365,69418,74234,6000,764813,769195,-7818,-3436,7500,777162,781615,8831,13283,3200,799616,804198,18485,23066,16000,775363,779805,-15768,-11325,26000,783241,787729,2110,6597,16000,98407,0.1286145205891162,42.3227289,-71.0812469502075
2019,1302632000,53,SYDNEY,ST,2125,0,375900,519700,547764,3776.0,1890.0,2016.0,8.135346948906706,7.703910209616311,2.5,8.0,3.0,1.0,0.0,1.0,0.0,"53 Sydney St Boston, MA 02125",1.0,819193.5190947143,-1.9175418811999536,-0.6827572824092922,0.024478613384940014,0.17047446033819233,0.4372403331022168,2.0308128779430663,13.689535936814284,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,-3594.6575182992965,820271.9008016174,1078.3817069031065,919813,925083,93120,98390,7500,826320,831054,3076,7811,4050,895788,900920,66594,71726,10000,832774,837546,1081,5852,12500,828235,832980,5841,10587,3200,852165,857047,16971,21854,16000,807395,812021,-37798,-33172,26000,815598,820271,-19594,-14921,16000,98390,0.12010593065815532,42.313369099999996,-71.0527117007243
2019,1404047000,8,VERRILL,ST,2126,1,472800,651400,686576,4936.0,1905.0,2009.0,8.780787468338929,8.434246270595311,3.0,21.0,9.0,3.0,0.0,3.0,0.0,"8 Verrill St Boston, MA 02126",3.0,1101128.42838881,0.2428884659606104,0.33430081535972944,0.6100354986133925,0.6214256448163537,0.7968946913155511,2.5745884748263195,13.430590444370644,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,-4464.044211085653,1102947.8109032628,1819.3825144527946,1181530,1188300,71402,78171,9000,1122348,1128779,16420,22850,4800,1204487,1211388,91359,98260,12000,1076612,1082780,-39515,-33347,15000,1113655,1120036,9327,15708,3200,1149498,1156084,32370,38956,16000,1085633,1091853,-41494,-35274,26000,1096664,1102947,-20464,-14180,16000,98260,0.08923573078916482,42.28170405,-71.0882411052365
2019,1402377000,100,RADCLIFFE,ST,2121,1,318800,462000,486948,4467.0,1900.0,0.0,8.328209491748732,7.882314918980267,2.5,14.0,7.0,3.0,0.0,3.0,0.0,"100 Radcliffe St Boston, MA 02121",3.0,793925.2600409973,-0.3395920110063311,-0.17503943844378825,0.18914106776132014,0.4368230614249885,0.5526314405840984,1.8434221458437383,13.594890139319274,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,-960.6734202107182,797507.9409485719,3582.6809075745987,894287,899411,92862,97985,7500,803388,807991,5413,10016,4050,870928,875918,67003,71993,10000,861171,866106,54746,59680,12500,805250,809864,8125,12738,3200,828516,833263,18590,23337,16000,784988,789486,-34936,-30439,26000,792964,797507,-16960,-12417,16000,97985,0.12341841849815961,42.298187,-71.07784699999999
2019,2003666000,126.0,HACKENSACK,RD,2467,1,324500,515200,543021,8298.0,1934.0,0.0,7.980707820869669,7.408530566894625,2.0,7.0,3.0,1.0,1.0,1.0,1.0,"126 Hackensack Rd Boston, MA 02467",1.5,814700.3521147219,0.4283281625926125,0.7016848448275306,0.8632048399000068,1.0309608228782967,1.2030723742197469,3.8075883288169536,13.713395958727734,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,-4887.876374756801,814452.3614024791,-247.99071224278305,913288,918520,92587,97820,6000,820458,825158,2457,7158,3300,889432,894528,66732,71828,8000,826866,831604,2166,6903,10000,809812,814452,-8087,-3447,3200,846119,850967,15418,20266,16000,843281,848112,2580,7412,26000,851849,856730,21149,26030,16000,97820,0.12006868506450025,42.29894505,-71.1435622048757
2019,1301607000,9,DEWOLF,ST,2125,0,443000,574100,605101,3600.0,1905.0,2008.0,8.405591014834933,7.898782356970309,2.0,12.0,6.0,2.0,0.0,2.0,0.0,"9 Dewolf St Boston, MA 02125",2.0,935262.5634671949,-0.996489958982878,-0.3188692998029212,-0.20992879635059286,0.2111280449570052,0.306129993968037,1.825704147652028,13.689535936814284,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,6493.707752486225,947152.1394624149,11889.575995219988,1014634,1020448,73372,79185,6000,954136,959603,15573,21040,3300,1034349,1040275,91086,97012,8000,941150,946543,-4111,1280,10000,956347,961826,17884,23364,3200,987127,992783,35864,41520,16000,932283,937625,-28979,-23637,26000,941756,947152,-9506,-4110,16000,97012,0.10372702146909227,42.3105883,-71.0604749477578
